Step number	Time	VolQplus_planeLVOT	VolQminus_planeLVOT	VolQplus_planeOutflow	VolQminus_planeOutflow	dt	exp_dt	max_velocity	max_pressure
1	9.53463e-07	5.27023e-10	2.30795e-10	3.55469e-06	7.65283e-06	9.53463e-07		0.0128644	9.15063e-07
2	0.000100953	0.0429978	0	0.000263194	0.000662542	0.0001	0.0253114	0.343859	8.21023e-07
3	0.000200953	4.46579	0	0.00136722	0.00247522	0.0001	0.027199	2.88614	1.64257e-06
4	0.000300953	0	0.19826	0.00289988	0.00362706	0.0001	0.0238914	2.92647	4.96165e-06
5	0.000400953	0	11.6836	0.00529526	0.00412457	0.0001	0.0241693	2.82354	9.02274e-06
6	0.000500953	0	29.2011	0.00915569	0.00456892	0.0001	0.0248543	2.80572	1.31053e-05
7	0.000600953	0	52.3231	0.0150928	0.00573986	0.0001	0.025274	2.80481	1.7251e-05
8	0.000700953	0	80.7761	0.0235478	0.00819806	0.0001	0.0254695	2.85197	2.13867e-05
9	0.000800953	0	114.372	0.0349	0.0122972	0.0001	0.0255626	2.90858	2.55277e-05
10	0.000900953	0	152.963	0.049746	0.0184028	0.0001	0.0253215	2.96068	2.96726e-05
11	0.00100095	0	196.416	0.0685897	0.0265991	0.0001	0.0240823	3.01253	3.38219e-05
12	0.00110095	0	244.079	0.0913741	0.0366503	0.0001	0.021606	3.38321	3.80988e-05
13	0.00120095	0	243.276	0.118274	0.0483819	0.0001	0.00972806	37.7424	5.58833e-05
14	0.00130095	0	357.191	0.149331	0.061626	0.0001	0.00663331	37.9842	0.000105898
15	0.00140095	0	557.335	0.184138	0.0762422	0.0001	0.00623473	36.997	0.000158988
16	0.00150095	0	834.838	0.222328	0.0920581	0.0001	0.00621323	36.8106	0.000212531
17	0.00160095	0	1184.33	0.262962	0.1089	0.0001	0.00610346	36.9233	0.000266841
18	0.00170095	0	1602.36	0.305706	0.127122	0.0001	0.00397911	37.6977	0.000321073
19	0.00180095	0	2086.5	0.349099	0.146461	0.0001	0.0028833	38.3974	0.000375313
20	0.00190095	0	2634.81	0.391829	0.16678	0.0001	0.00223659	39.0513	0.000429552
21	0.00200995	0	3232.55	0.431951	0.189353	0.000109	0.00179414	46.1904	0.000481327
22	0.00212995	0	3940.59	0.469892	0.216634	0.00012	0.00147596	55.4704	0.000535826
23	0.00226095	0	4790.87	0.500758	0.253246	0.000131	0.00125328	65.5662	0.00059551
24	0.00240295	0	5803.22	0.518683	0.307221	0.000142	0.00105422	81.4905	0.000661012
25	0.00255595	0	6996.84	0.513968	0.395251	0.000153	0.000818585	102.384	0.000732429
26	0.00271995	0	8390.39	0.480675	0.551394	0.000164	0.000650941	125.793	0.000809815
27	0.00289495	0	10002	0.421178	0.847231	0.000175	0.000529543	151.501	0.000892989
28	0.00308095	0	11849	0.33653	1.39162	0.000186	0.000439678	179.327	0.000981935
29	0.00327795	0	13996.8	0.224837	2.3575	0.000197	0.000371641	209.374	0.0010706
30	0.00348595	0	16388	0.104697	4.04201	0.000208	0.00031868	241.224	0.00116262
31	0.00370495	0	18852.4	0.0289606	6.93626	0.000219	0.00027702	273.302	0.00120101
32	0.00393495	0	21425.2	0.0226426	11.7267	0.00023	0.000244802	304.496	0.00125378
33	0.00417595	0	24128.1	0.0301442	19.3525	0.000241	0.000219929	333.893	0.00130777
34	0.00442795	0	26947.3	0.0396781	31.2382	0.000252	0.00019997	362.653	0.00136714
35	0.00469095	0	29894.2	0.0610372	49.4002	0.000263	0.000169406	391.568	0.00143565
36	0.00496495	0	32923.5	0.0881216	76.5509	0.000274	0.000160894	420.129	0.00149858
37	0.00524995	0	36095.5	0.126413	116.307	0.000285	0.000138774	448.495	0.00158046
38	0.00554595	0	39359.9	0.165906	173.35	0.000296	0.000121519	490.311	0.00165933
39	0.00585295	0	42730.8	0.190413	253.618	0.000307	0.000108539	554.275	0.0017424
40	0.00617095	0	46198.5	0.21656	364.579	0.000318	9.8569e-05	613.471	0.0018267
41	0.00649995	0	49760.1	0.210761	515.312	0.000329	9.07121e-05	668.155	0.00191184
42	0.00683995	0	53405.6	0.265795	716.859	0.00034	8.39929e-05	719.19	0.00199923
43	0.00719095	0	57137.2	0.257491	981.908	0.000351	7.61142e-05	765.942	0.00209029
44	0.00755295	0	60922.1	0.281943	1325.24	0.000362	6.97259e-05	810.564	0.0021807
45	0.00792595	0	64848.4	0.213631	1763.19	0.000373	6.44138e-05	855.79	0.00229067
46	0.00830995	0	68952.1	0.108071	2313.99	0.000384	5.76674e-05	1004.81	0.0024198
47	0.00870495	0	73204.8	0.0584475	2997.56	0.000395	4.91335e-05	1204.52	0.00255704
48	0.00911095	0	77594.8	0.104416	3835.03	0.000406	4.11726e-05	1510.26	0.0027015
49	0.00952795	0	82177.2	0.0534382	4848.38	0.000417	1.21457e-05	1896.64	0.00286821
50	0.00995595	0	86710.8	0.00515559	6062.98	0.000428	2.62066e-05	2094.95	0.00301131
51	0.010395	0	91397.3	0.0198359	7504.85	0.000439	2.47346e-05	2173.51	0.00317537
52	0.010845	0	96145.1	0	9202.54	0.00045	2.31364e-05	2522.78	0.00331726
53	0.011306	0	100681	0	11187	0.000461	2.07348e-05	2598.74	0.00347276
54	0.011778	0	105480	0	13488.2	0.000472	1.9877e-05	2916.91	0.00362498
55	0.012261	0	109823	0	16130	0.000483	1.16518e-05	3201.89	0.00377889
56	0.012755	0	114476	0	19143.1	0.000494	1.65534e-05	3301.86	0.00392749
57	0.01326	0	118605	0	22553.2	0.000505	1.57259e-05	3608.13	0.0040846
58	0.013776	0	123115	0	26386	0.000516	1.42677e-05	3798.86	0.00423121
59	0.014303	0	126680	0	30662.7	0.000527	7.96215e-06	4018.41	0.00437189
60	0.014841	0	130383	0	35411.3	0.000538	1.25216e-05	4302.61	0.00446809
61	0.01539	0	133004	0	40644.5	0.000549	1.19285e-05	4487.53	0.00458631
62	0.01595	0	135845	0	46366.1	0.00056	1.14302e-05	4668.35	0.00486615
